id,receipt_id,item,price
266,24,Barilla P/sce Base Par Bolognese 400g ,5.29
267,24,Barilla Sauce Pasta Arabiata Chli 400g ,5.29
268,24,Dr Pepper 355ml Oty 20 25 each ,"5.00"
269,24,Helland RakeHouse Almond Fingers 264g ,5.59
270,25, Charlies 1002 Pure Squeezd 0/juice 1.51 ,9.49
271,25,Anchor Blue Top Plastic 11 ,"3.30"
272,25,Meadow Fresh Cream 300m ,3.34
273,25,A FF Greek Yoghurt Strawberry ikg ,"6.30"
274,25,Barilla Sauce Pasta Arabiata Chli 400g ,5.29
275,25,Barilla P/sce Base Per Bolognese 400g ,5.29
276,25,Bundaberg Ginger Beer 4x375m ,7.99
277,25,A Campbells Real Stock Beef 500m ,"3.50"
278,25,A Anathoth Farm Jam Boysenberry 495g ,"5.80"
279,25,pnathoth Farm Jam Strawberry 455g ,"5.80"
280,25,Mrs Rogers Panko Crumbs 190g ,"4.20"
281,25,Wultix Plant Based K/Tidy Bag Lge 20pk ,5.99
282,25,Mainland Natural ChsSlice Swiss 180g ,"6.20"
283,25,Cucumber Lebanese Loose ,2.99
284,25,Burgen Bread Soy/ Linseed Toast 700g ,4.99
285,25,Holland Bakehouse /Syrup Waffles 250g ,5.79
286,25,Garlic pk ,"3.90"
287,25,WH Cherry Tonatoes 250g ,"3.80"
288,25,Fresh Chicken Whole 1.35kg ,"10.90"
289,25,Gourmet Brioche ChocChip Tear Share 400g ,"8.60"
290,25,Toscano Tiramisu 500G ,"11.00"
291,25,Srbnt Toilet Tissue T&L Silky White 8s ,8.99
292,25,Wellington Official Prepaid Bags Spk ,19.99
